time,open,high,low,close,risepercent,wavepercent
"2012-05-28,一",2.551,2.607,2.544,2.604,1.17%,2.45%
"2012-05-29,二",2.602,2.661,2.602,2.644,1.54%,2.27%
"2012-05-30,三",2.642,2.647,2.633,2.636,-0.30%,0.53%
"2012-05-31,四",2.621,2.645,2.613,2.63,-0.23%,1.21%
"2012-06-01,五",2.629,2.66,2.62,2.63,0.00%,1.52%
"2012-06-04,一",2.601,2.604,2.555,2.558,-2.74%,1.86%
"2012-06-05,二",2.562,2.572,2.556,2.561,0.12%,0.63%
"2012-06-06,三",2.563,2.574,2.548,2.559,-0.08%,1.02%
"2012-06-07,四",2.578,2.583,2.536,2.543,-0.63%,1.84%
"2012-06-08,五",2.558,2.56,2.53,2.534,-0.35%,1.18%
"2012-06-11,一",2.543,2.577,2.536,2.564,1.18%,1.62%
"2012-06-12,二",2.55,2.562,2.538,2.548,-0.62%,0.94%
"2012-06-13,三",2.56,2.588,2.55,2.585,1.45%,1.49%
"2012-06-14,四",2.58,2.598,2.571,2.574,-0.43%,1.04%
"2012-06-15,五",2.582,2.594,2.557,2.584,0.39%,1.44%
"2012-06-18,一",2.589,2.608,2.588,2.592,0.31%,0.77%
"2012-06-19,二",2.59,2.59,2.572,2.573,-0.73%,0.69%
"2012-06-20,三",2.58,2.587,2.57,2.57,-0.12%,0.66%
"2012-06-21,四",2.563,2.564,2.517,2.53,-1.56%,1.83%
"2012-06-25,一",2.527,2.527,2.476,2.48,-1.98%,2.02%
"2012-06-26,二",2.472,2.485,2.462,2.48,0.00%,0.93%
"2012-06-27,三",2.478,2.493,2.47,2.471,-0.36%,0.93%
"2012-06-28,四",2.48,2.486,2.455,2.457,-0.57%,1.25%
"2012-06-29,五",2.451,2.488,2.448,2.485,1.14%,1.63%
"2012-07-02,一",2.495,2.495,2.476,2.485,0.00%,0.76%
"2012-07-03,二",2.488,2.516,2.482,2.489,0.16%,1.37%
"2012-07-04,三",2.494,2.504,2.484,2.489,0.00%,0.80%
"2012-07-05,四",2.479,2.479,2.452,2.461,-1.12%,1.08%
"2012-07-06,五",2.466,2.512,2.452,2.501,1.63%,2.44%
"2012-07-09,一",2.489,2.499,2.448,2.451,-2.00%,2.04%
"2012-07-10,二",2.449,2.453,2.438,2.441,-0.41%,0.61%
"2012-07-11,三",2.438,2.458,2.435,2.452,0.45%,0.94%
"2012-07-12,四",2.446,2.487,2.437,2.474,0.90%,2.04%
"2012-07-13,五",2.473,2.496,2.471,2.478,0.16%,1.01%
"2012-07-16,一",2.481,2.482,2.437,2.438,-1.61%,1.82%
"2012-07-17,二",2.437,2.449,2.431,2.443,0.21%,0.74%
"2012-07-18,三",2.441,2.451,2.406,2.443,0.00%,1.84%
"2012-07-19,四",2.441,2.473,2.437,2.451,0.33%,1.47%
"2012-07-20,五",2.445,2.451,2.427,2.433,-0.73%,0.98%
"2012-07-23,一",2.411,2.411,2.392,2.403,-1.23%,0.78%
"2012-07-24,二",2.397,2.423,2.395,2.408,0.21%,1.17%
"2012-07-25,三",2.4,2.414,2.39,2.393,-0.62%,1.00%
"2012-07-26,四",2.395,2.407,2.38,2.382,-0.46%,1.13%
"2012-07-27,五",2.389,2.396,2.377,2.385,0.13%,0.80%
"2012-07-30,一",2.389,2.399,2.372,2.377,-0.34%,1.13%
"2012-07-31,二",2.378,2.385,2.366,2.371,-0.25%,0.80%
"2012-08-01,三",2.372,2.401,2.372,2.389,0.76%,1.22%
"2012-08-02,四",2.386,2.389,2.359,2.371,-0.75%,1.26%
"2012-08-03,五",2.375,2.386,2.368,2.385,0.59%,0.76%
"2012-08-06,一",2.383,2.42,2.382,2.416,1.30%,1.59%
"2012-08-07,二",2.415,2.421,2.412,2.419,0.12%,0.37%
"2012-08-08,三",2.423,2.436,2.416,2.421,0.08%,0.83%
"2012-08-09,四",2.422,2.448,2.412,2.445,0.99%,1.49%
"2012-08-10,五",2.447,2.447,2.433,2.438,-0.29%,0.57%
"2012-08-13,一",2.431,2.431,2.389,2.392,-1.89%,1.72%
"2012-08-14,二",2.393,2.396,2.36,2.388,-0.17%,1.51%
"2012-08-15,三",2.383,2.383,2.364,2.366,-0.92%,0.80%
"2012-08-16,四",2.367,2.37,2.357,2.359,-0.30%,0.55%
"2012-08-17,五",2.359,2.36,2.335,2.349,-0.42%,1.06%
"2012-08-20,一",2.333,2.343,2.242,2.336,-0.55%,4.30%
"2012-08-21,二",2.336,2.367,2.333,2.345,0.39%,1.46%
"2012-08-22,三",2.347,2.349,2.323,2.328,-0.72%,1.11%
"2012-08-23,四",2.333,2.348,2.322,2.339,0.47%,1.12%
"2012-08-24,五",2.33,2.332,2.313,2.316,-0.98%,0.81%
"2012-08-27,一",2.305,2.305,2.267,2.268,-2.07%,1.64%
"2012-08-28,二",2.265,2.284,2.26,2.268,0.00%,1.06%
"2012-08-29,三",2.262,2.274,2.25,2.253,-0.66%,1.06%
"2012-08-30,四",2.246,2.255,2.226,2.243,-0.44%,1.29%
"2012-08-31,五",2.24,2.251,2.238,2.243,0.00%,0.58%
"2012-09-03,一",2.238,2.27,2.233,2.257,0.62%,1.65%
"2012-09-04,二",2.261,2.267,2.232,2.233,-1.06%,1.55%
"2012-09-05,三",2.233,2.241,2.223,2.232,-0.04%,0.81%
"2012-09-06,四",2.235,2.254,2.232,2.254,0.99%,0.99%
"2012-09-07,五",2.267,2.385,2.267,2.357,4.57%,5.24%
"2012-09-10,一",2.36,2.37,2.353,2.365,0.34%,0.72%
"2012-09-11,二",2.349,2.35,2.331,2.347,-0.76%,0.80%
"2012-09-12,三",2.365,2.378,2.334,2.359,0.51%,1.87%
"2012-09-13,四",2.352,2.363,2.335,2.336,-0.97%,1.19%
"2012-09-14,五",2.354,2.37,2.335,2.352,0.68%,1.50%
"2012-09-17,一",2.346,2.348,2.295,2.297,-2.34%,2.25%
"2012-09-18,二",2.282,2.287,2.262,2.269,-1.22%,1.09%
"2012-09-19,三",2.269,2.284,2.262,2.278,0.40%,0.97%
"2012-09-20,四",2.273,2.273,2.226,2.229,-2.15%,2.06%
"2012-09-21,五",2.221,2.25,2.219,2.228,-0.04%,1.39%
"2012-09-24,一",2.214,2.263,2.204,2.248,0.90%,2.65%
"2012-09-25,二",2.241,2.257,2.235,2.245,-0.13%,0.98%
"2012-09-26,三",2.243,2.252,2.218,2.221,-1.07%,1.51%
"2012-09-27,四",2.225,2.336,2.224,2.285,2.88%,5.04%
"2012-09-28,五",2.271,2.339,2.265,2.338,2.32%,3.24%
"2012-10-08,一",2.335,2.339,2.29,2.303,-1.50%,2.10%
"2012-10-09,二",2.315,2.368,2.315,2.356,2.30%,2.30%
"2012-10-10,三",2.347,2.36,2.339,2.356,0.00%,0.89%
"2012-10-11,四",2.348,2.356,2.335,2.34,-0.68%,0.89%
"2012-10-12,五",2.348,2.368,2.321,2.338,-0.09%,2.01%
"2012-10-15,一",2.344,2.344,2.315,2.33,-0.34%,1.24%
"2012-10-16,二",2.329,2.352,2.321,2.331,0.04%,1.33%
"2012-10-17,三",2.343,2.348,2.317,2.34,0.39%,1.33%
"2012-10-18,四",2.345,2.376,2.344,2.369,1.24%,1.37%
"2012-10-19,五",2.366,2.375,2.363,2.369,0.00%,0.51%
"2012-10-22,一",2.359,2.384,2.352,2.378,0.38%,1.35%
"2012-10-23,二",2.377,2.379,2.349,2.351,-1.14%,1.26%
"2012-10-24,三",2.345,2.359,2.342,2.347,-0.17%,0.72%
"2012-10-25,四",2.347,2.357,2.327,2.328,-0.81%,1.28%
"2012-10-26,五",2.329,2.332,2.268,2.276,-2.23%,2.75%
"2012-10-29,一",2.272,2.279,2.258,2.265,-0.48%,0.92%
"2012-10-30,二",2.268,2.289,2.263,2.27,0.22%,1.15%
"2012-10-31,三",2.272,2.288,2.265,2.286,0.70%,1.01%
"2012-11-01,四",2.291,2.344,2.287,2.334,2.10%,2.49%
"2012-11-02,五",2.334,2.343,2.318,2.339,0.21%,1.07%
"2012-11-05,一",2.337,2.357,2.323,2.333,-0.26%,1.45%
"2012-11-06,二",2.338,2.34,2.291,2.324,-0.39%,2.10%
"2012-11-07,三",2.32,2.338,2.309,2.322,-0.09%,1.25%
"2012-11-08,四",2.307,2.31,2.279,2.28,-1.81%,1.34%
"2012-11-09,五",2.276,2.285,2.269,2.274,-0.26%,0.70%
"2012-11-12,一",2.276,2.289,2.264,2.282,0.35%,1.10%
"2012-11-13,二",2.282,2.282,2.242,2.247,-1.53%,1.75%
"2012-11-14,三",2.25,2.256,2.243,2.253,0.27%,0.58%
"2012-11-15,四",2.244,2.255,2.224,2.226,-1.20%,1.38%
"2012-11-16,五",2.223,2.224,2.196,2.205,-0.94%,1.26%
"2012-11-19,一",2.204,2.207,2.183,2.205,0.00%,1.09%
"2012-11-20,二",2.211,2.215,2.195,2.199,-0.27%,0.91%
"2012-11-21,三",2.2,2.229,2.186,2.226,1.23%,1.96%
"2012-11-22,四",2.212,2.217,2.2,2.213,-0.58%,0.76%
"2012-11-23,五",2.217,2.235,2.214,2.225,0.54%,0.95%
"2012-11-26,一",2.221,2.222,2.203,2.211,-0.63%,0.85%
"2012-11-27,二",2.202,2.206,2.186,2.187,-1.09%,0.90%
"2012-11-28,三",2.182,2.182,2.16,2.163,-1.10%,1.01%
"2012-11-29,四",2.168,2.173,2.154,2.155,-0.37%,0.88%
"2012-11-30,五",2.15,2.172,2.147,2.165,0.46%,1.16%
"2012-12-03,一",2.168,2.18,2.143,2.145,-0.92%,1.71%
"2012-12-04,二",2.14,2.166,2.138,2.162,0.79%,1.31%
"2012-12-05,三",2.161,2.252,2.158,2.238,3.52%,4.35%
"2012-12-06,四",2.239,2.246,2.226,2.235,-0.13%,0.89%
"2012-12-07,五",2.235,2.287,2.233,2.28,2.01%,2.42%
"2012-12-10,一",2.293,2.307,2.285,2.301,0.92%,0.96%
"2012-12-11,二",2.292,2.306,2.288,2.294,-0.30%,0.78%
"2012-12-12,三",2.296,2.306,2.286,2.299,0.22%,0.87%
"2012-12-13,四",2.29,2.297,2.279,2.281,-0.78%,0.78%
"2012-12-14,五",2.279,2.4,2.279,2.396,5.04%,5.30%
"2012-12-17,一",2.398,2.408,2.392,2.403,0.29%,0.67%
"2012-12-18,二",2.37,2.407,2.35,2.366,-1.54%,2.37%
"2012-12-19,三",2.365,2.387,2.36,2.372,0.25%,1.14%
"2012-12-20,四",2.364,2.398,2.352,2.388,0.67%,1.94%
"2012-12-21,五",2.396,2.413,2.366,2.378,-0.42%,1.97%
"2012-12-24,一",2.377,2.398,2.372,2.38,0.08%,1.09%
"2012-12-25,二",2.372,2.459,2.368,2.446,2.77%,3.82%
"2012-12-26,三",2.442,2.455,2.441,2.453,0.29%,0.57%
"2012-12-27,四",2.465,2.481,2.447,2.448,-0.20%,1.39%
"2012-12-28,五",2.455,2.486,2.448,2.484,1.47%,1.55%
"2012-12-31,一",2.492,2.529,2.492,2.524,1.61%,1.49%
"2013-01-04,五",2.554,2.56,2.499,2.53,0.24%,2.42%
"2013-01-07,一",2.522,2.544,2.516,2.534,0.16%,1.11%
"2013-01-08,二",2.533,2.539,2.503,2.523,-0.43%,1.42%
"2013-01-09,三",2.519,2.534,2.504,2.521,-0.08%,1.19%
"2013-01-10,四",2.522,2.553,2.51,2.527,0.24%,1.71%
"2013-01-11,五",2.534,2.54,2.478,2.489,-1.50%,2.45%
"2013-01-14,一",2.489,2.588,2.482,2.577,3.54%,4.26%
"2013-01-15,二",2.579,2.603,2.578,2.592,0.58%,0.97%
