time,open,high,low,close,risepercent,wavepercent
"2011-06-15,三",35.65,35.8,35.09,35.46,--,2.01%
"2011-06-16,四",35.65,35.65,35.35,35.44,0.10%,0.85%
"2011-06-17,五",35.195,35.805,35.195,35.67,0.33%,1.72%
"2011-06-20,一",35.8,36.07,35.73,36.04,0.84%,0.95%
"2011-06-21,二",36.07,36.55,36.07,36.37,0.85%,1.33%
"2011-06-22,三",36.425,36.77,35.895,36.305,-0.20%,2.41%
"2011-06-23,四",36.335,36.36,35.35,35.655,-1.79%,2.78%
"2011-06-24,五",35.315,35.42,34.45,34.885,-2.16%,2.72%
"2011-06-27,一",34.3,34.33,33.38,33.575,--,2.72%
"2011-06-28,二",33.58,34.135,33.51,33.94,1.06%,1.86%
"2011-06-29,三",33.905,34.93,33.85,34.885,3.71%,3.18%
"2011-06-30,四",34.885,35.14,34.65,34.74,-0.03%,1.40%
"2011-07-07,四",36.15,36.625,35.74,36.44,4.86%,2.55%
"2011-07-08,五",36.425,36.82,36.08,36.705,0.48%,2.03%
"2011-07-11,一",36.66,36.81,35.625,35.81,-1.99%,3.23%
"2011-07-12,二",35.845,36.39,34.85,36.195,1.42%,4.30%
"2011-07-13,三",36.14,38.185,36.13,38.16,7.10%,5.68%
"2011-07-14,四",38.52,39.355,38.1,38.2,0.14%,3.29%
"2011-07-15,五",38.385,39.305,37.91,39.3,1.58%,3.65%
"2011-07-18,一",39.77,40.67,39.64,40.575,3.87%,2.62%
"2011-07-19,二",40.33,40.87,38.705,39.005,-3.29%,5.34%
"2011-07-20,三",38.835,40.1,38.435,40.1,-0.28%,4.27%
"2011-07-21,四",39.96,40.26,38.88,38.91,-1.62%,3.44%
"2011-07-22,五",39.305,40.25,38.91,40.095,1.38%,3.44%
"2011-07-25,一",40.485,41.045,40.1,40.97,2.14%,2.36%
"2011-07-27,三",40.81,41.185,40.81,41.11,0.34%,0.92%
"2011-07-28,四",40.395,40.395,39.435,39.76,--,2.34%
"2011-07-29,五",39.445,40.38,39.445,39.91,0.33%,2.35%
"2011-08-02,二",39.71,40.87,39.71,40.8,1.77%,2.91%
"2011-08-04,四",41.62,42.2,41,41,2.29%,2.94%
"2011-08-08,一",39.08,40.215,38.85,39.465,-5.47%,3.33%
"2011-08-09,二",38.865,38.865,37.87,37.87,-3.82%,2.52%
